HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2_Glycos_transf_2.hmm	170	BCW-201854_02053	699	2.8e-37	1	170	130	301	0.9941176470588236
GH31.hmm	427	BCW-201854_02153	788	1.8e-130	1	425	237	681	0.9929742388758782
GH23.hmm	135	BCW-201854_02323	359	7.5e-22	16	122	207	354	0.7851851851851852
GH1.hmm	429	BCW-201854_02369	475	3.5e-151	4	428	8	466	0.9883449883449883
GH1.hmm	429	BCW-201854_02370	479	4.3e-153	1	428	1	476	0.9953379953379954
GH103.hmm	295	BCW-201854_02497	359	1.1e-95	7	294	63	355	0.9728813559322034
GT2_Glycos_transf_2.hmm	170	BCW-201854_02579	310	7.5e-28	1	166	4	162	0.9705882352941176
CE9.hmm	373	BCW-201854_02648	382	1.2e-122	2	373	5	376	0.9946380697050938
GT83.hmm	540	BCW-201854_02717	554	1.7e-151	7	528	4	525	0.9648148148148148
GT2_Glycos_transf_2.hmm	170	BCW-201854_02720	326	7.1e-34	1	167	10	171	0.9764705882352941
AA3.hmm	618	BCW-201854_02748	589	1.4e-43	85	400	4	578	0.5097087378640777
GH103.hmm	295	BCW-201854_02968	365	5.8e-113	1	294	67	362	0.9932203389830508
GH24.hmm	137	BCW-201854_03095	167	3.6e-43	2	137	26	157	0.9854014598540146
GH24.hmm	137	BCW-201854_03145	169	4.7e-43	1	137	28	160	0.9927007299270073
GH32.hmm	293	BCW-201854_03226	469	7.1e-95	1	293	31	336	0.9965870307167235
AA3.hmm	618	BCW-201854_03318	594	6.5e-51	86	404	4	587	0.5145631067961165
GH37.hmm	491	BCW-201854_03339	482	2.4e-175	1	491	4	479	0.9979633401221996
AA3.hmm	618	BCW-201854_03345	529	4.8e-48	87	398	4	526	0.5032362459546925
GT60.hmm	330	BCW-201854_03359	449	9.2e-104	1	328	6	320	0.990909090909091
GT4.hmm	160	BCW-201854_03384	343	1.6e-29	7	150	160	305	0.89375
AA3.hmm	618	BCW-201854_03415	533	1.3e-49	89	398	6	530	0.5
CE14.hmm	124	BCW-201854_03421	246	3.2e-20	1	118	11	123	0.9435483870967742
CE1.hmm	227	BCW-201854_03450	249	4.8e-19	15	208	19	232	0.8502202643171806
GH1.hmm	429	BCW-201854_03487	464	3.4e-148	1	428	1	460	0.9953379953379954
GH24.hmm	137	BCW-201854_03594	177	5.6e-33	2	137	34	166	0.9854014598540146
GH15.hmm	361	BCW-201854_03664	604	1.7e-74	2	360	222	588	0.9916897506925207
GH3.hmm	216	BCW-201854_03677	765	3.6e-69	3	215	98	319	0.9814814814814815
AA6.hmm	195	BCW-201854_03867	199	1.7e-79	1	194	3	195	0.9897435897435898
GH19.hmm	231	BCW-201854_03917	208	6.2e-30	55	171	34	189	0.5021645021645021
AA12.hmm	401	BCW-201854_03983	438	1.3e-20	73	399	150	432	0.8129675810473815
GH32.hmm	293	BCW-201854_04010	478	6.1e-109	1	293	28	329	0.9965870307167235
GT84.hmm	215	BCW-201854_04017	1745	3.3e-94	1	213	198	410	0.986046511627907
GH94.hmm	1036	BCW-201854_04017	1745	0	2	1035	652	1734	0.997104247104247
GT20.hmm	475	BCW-201854_04107	476	1.1e-163	13	474	2	454	0.9705263157894737
GH78.hmm	504	BCW-201854_04121	524	2.6e-66	7	436	73	519	0.8511904761904762
GT2_Glycos_transf_2.hmm	170	BCW-201854_04134	325	3.2e-27	1	106	7	110	0.6176470588235294
AA3_2.hmm	570	BCW-201854_04137	558	1.1e-99	3	566	5	534	0.987719298245614
GT2_Glycos_transf_2.hmm	170	BCW-201854_04153	303	5.8e-29	1	124	5	125	0.7235294117647059
GH13_5.hmm	343	BCW-201854_04193	492	2.6e-147	3	342	31	373	0.9883381924198251
GH4.hmm	179	BCW-201854_04244	434	8.8e-63	1	177	2	184	0.9832402234636871
GT8.hmm	257	BCW-201854_04249	243	8.4e-42	30	245	3	243	0.8365758754863813
AA7.hmm	458	BCW-201854_04258	495	2.6e-59	4	244	63	302	0.5240174672489083
GT81.hmm	293	BCW-201854_04278	406	1.5e-69	89	275	117	322	0.6348122866894198
GH3.hmm	216	BCW-201854_04284	339	1.9e-58	10	216	52	274	0.9537037037037037
GH105.hmm	332	BCW-201854_04290	379	1.2e-112	9	332	59	376	0.9728915662650602
GH73.hmm	128	BCW-201854_04310	316	1.7e-36	3	126	158	294	0.9609375
GT2_Glycos_transf_2.hmm	170	BCW-201854_04342	852	1.4e-22	2	168	255	437	0.9764705882352941
GH1.hmm	429	BCW-201854_04346	389	9.4e-20	60	412	50	363	0.8205128205128205
CE1.hmm	227	BCW-201854_04376	447	3.5e-22	1	223	204	433	0.9779735682819384
GH109.hmm	126	BCW-201854_04384	373	1.3e-17	1	123	4	124	0.9682539682539683
GT2_Glycos_transf_2.hmm	170	BCW-201854_04416	301	5.3e-21	2	121	6	126	0.7
GT2_Glycos_transf_2.hmm	170	BCW-201854_04417	327	1.6e-20	1	97	6	102	0.5647058823529412
GT4.hmm	160	BCW-201854_04428	407	1.3e-35	12	151	226	371	0.86875
GT4.hmm	160	BCW-201854_04431	344	3.4e-40	11	155	174	317	0.9
GT2_Glycos_transf_2.hmm	170	BCW-201854_04432	250	2.7e-29	2	124	10	129	0.7176470588235294
GT2_Glycos_transf_2.hmm	170	BCW-201854_04434	301	8.3e-28	1	107	7	114	0.6235294117647059
CE1.hmm	227	BCW-201854_04490	280	1.3e-49	1	224	25	275	0.9823788546255506
