HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2_Glycos_transf_2.hmm	170	BCW-201902_11202	344	1.6e-34	1	166	10	170	0.9705882352941176
GH73.hmm	128	BCW-201902_11233	187	5.9e-23	11	127	62	180	0.90625
GH13_19.hmm	322	BCW-201902_11234	677	2.7e-150	1	322	227	596	0.9968944099378882
GH127.hmm	524	BCW-201902_11252	653	3.4e-236	2	524	12	560	0.9961832061068703
GT9.hmm	225	BCW-201902_11277	352	3.6e-55	1	201	69	304	0.8888888888888888
GT9.hmm	225	BCW-201902_11278	323	2.1e-44	2	205	76	300	0.9022222222222223
GT73.hmm	245	BCW-201902_11279	302	6.9e-87	2	244	57	295	0.9877551020408163
GT9.hmm	225	BCW-201902_11281	360	2.3e-26	6	192	104	310	0.8266666666666667
GT9.hmm	225	BCW-201902_11283	358	2.4e-60	2	204	87	320	0.8977777777777778
GT4.hmm	160	BCW-201902_11284	375	7.8e-30	4	148	200	337	0.9
GT4.hmm	160	BCW-201902_11285	364	6e-28	7	154	196	340	0.91875
GT2_Glycos_transf_2.hmm	170	BCW-201902_11286	329	2.1e-25	1	130	8	135	0.7588235294117647
GT30.hmm	177	BCW-201902_11287	424	4.2e-76	1	176	32	210	0.9887005649717514
GT2_Glycos_transf_2.hmm	170	BCW-201902_11288	256	1.9e-19	1	133	6	133	0.7764705882352941
GH4.hmm	179	BCW-201902_11322	459	3.8e-48	1	178	2	180	0.9888268156424581
